id,category,tool_stack,workflow_title,workflow_steps,prompts,output_format,safety_note
WF-038,Research,Canva-type slides + exported PNG charts you label,"Stabilise ""figure caption assist"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: figure caption assist. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-039,Writing,Workspace board + messaging app for group sync,"De-risk ""incident postmortem lite"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: incident postmortem lite. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-040,Projects,ChatGPT-type assistant + textbook PDF,"Package ""accessibility quick pass"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: accessibility quick pass. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-041,Coding,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Rehearse ""speaker notes tighten"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: speaker notes tighten. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-042,Slides,NotebookLM-type grounded notebook + syllabus,"Map ""resume bullet metrics"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: resume bullet metrics. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-043,Revision,Notion-type workspace + calendar reminders,"Speed-run ""preprint vs journal"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: preprint vs journal. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-044,Collaboration,Grammarly-type writing assistant,"Stabilise ""block quote formatting"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: block quote formatting. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-045,Study,Zotero-type citation manager + library database,"De-risk ""complexity guess check"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: complexity guess check. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-046,Research,Anki-type spaced repetition decks,"Package ""grade appeal draft polite"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: grade appeal draft polite. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-047,Writing,Cursor/Copilot-type coding assistant + official docs tab,"Rehearse ""binary search debug story"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: binary search debug story. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-048,Projects,Canva-type slides + exported PNG charts you label,"Map ""container vs VM student"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: container vs VM student. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-049,Coding,Workspace board + messaging app for group sync,"Speed-run ""code review etiquette"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: code review etiquette. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-050,Slides,ChatGPT-type assistant + textbook PDF,"Stabilise ""XSS skim student"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: XSS skim student. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-051,Revision,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"De-risk ""PR description crisp"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: PR description crisp. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-052,Collaboration,NotebookLM-type grounded notebook + syllabus,"Package ""event-driven sketch"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: event-driven sketch. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-053,Study,Notion-type workspace + calendar reminders,"Rehearse ""postmortem blameless tone"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: postmortem blameless tone. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-054,Research,Grammarly-type writing assistant,"Map ""browser compat note"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: browser compat note. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-055,Writing,Zotero-type citation manager + library database,"Speed-run ""font licensing verify"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: font licensing verify. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-056,Projects,Anki-type spaced repetition decks,"Stabilise ""API error UX copy"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: API error UX copy. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-057,Coding,Cursor/Copilot-type coding assistant + official docs tab,"De-risk ""dependency upgrade fear"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: dependency upgrade fear. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-058,Slides,Canva-type slides + exported PNG charts you label,"Package ""whiteboard practise"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: whiteboard practise. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-059,Revision,Workspace board + messaging app for group sync,"Rehearse ""monthly retrospective tiny"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: monthly retrospective tiny. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-060,Collaboration,ChatGPT-type assistant + textbook PDF,"Map ""deep work pact"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: deep work pact. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-061,Study,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Speed-run ""eye strain 20-20-20"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: eye strain 20-20-20. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-062,Research,NotebookLM-type grounded notebook + syllabus,"Stabilise ""mentor ping template"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: mentor ping template. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
