id,category,question,best_structure,sample_answer_short,sample_answer_long,personalization_fields,follow_up_questions,red_flags_to_avoid
"IC-TellMeAboutYourself-0011","TellMeAboutYourself","Walk me through your background in about 45–60 seconds (internship screening).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 5] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0012","TellMeAboutYourself","How would you describe yourself academically and professionally (fresher full-time loop)?","PREP lite","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 6] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use PREP lite: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0013","TellMeAboutYourself","Tell me about yourself (off-campus HR round).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 1] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0014","TellMeAboutYourself","Give me a concise introduction (mentor introduction), then what you want next.","WHO+PROOF+AIM","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 2] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use WHO+PROOF+AIM: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0015","TellMeAboutYourself","Walk me through your background in about 45–60 seconds (alumni referral chat).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 3] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0016","TellMeAboutYourself","How would you describe yourself academically and professionally (internship screening)?","PREP lite","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 4] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use PREP lite: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0017","TellMeAboutYourself","Tell me about yourself (fresher full-time loop).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 5] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0018","TellMeAboutYourself","Give me a concise introduction (off-campus HR round), then what you want next.","WHO+PROOF+AIM","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 6] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use WHO+PROOF+AIM: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0019","TellMeAboutYourself","Walk me through your background in about 45–60 seconds (mentor introduction).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 1] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0020","TellMeAboutYourself","How would you describe yourself academically and professionally (alumni referral chat)?","PREP lite","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 2] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use PREP lite: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0021","TellMeAboutYourself","Tell me about yourself (internship screening).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 3] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0022","TellMeAboutYourself","Give me a concise introduction (fresher full-time loop), then what you want next.","WHO+PROOF+AIM","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 4] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use WHO+PROOF+AIM: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0023","TellMeAboutYourself","Walk me through your background in about 45–60 seconds (off-campus HR round).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 5] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0024","TellMeAboutYourself","How would you describe yourself academically and professionally (mentor introduction)?","PREP lite","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 6] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use PREP lite: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0025","TellMeAboutYourself","Tell me about yourself (alumni referral chat).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 1] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0026","TellMeAboutYourself","Give me a concise introduction (internship screening), then what you want next.","WHO+PROOF+AIM","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 2] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use WHO+PROOF+AIM: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0027","TellMeAboutYourself","Walk me through your background in about 45–60 seconds (fresher full-time loop).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 3] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0028","TellMeAboutYourself","How would you describe yourself academically and professionally (off-campus HR round)?","PREP lite","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 4] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use PREP lite: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
